state,x,y
Maharashtra,-115,-66
Gujarat,-197,-5
Madhya Pradesh, -81,-5
Uttarakhand,-59,140
Kerala,-115,-249
Uttar Pradesh,-47,84
Goa,-161,-155
Rajasthan,-164,62
Punjab,-134,154
Karnataka,-129,-173
Sikkim,109,96
Delhi,-94,107
Haryana, -119,119
Himachal Pradesh,-109,176
Jammu And Kashmir,-155,208
Ladakh,-88,241
Bihar,56,47
Jharkhand,39,7
West Bengal,93,-12
Odisha,32,-55
Chhattisgarh,-18,-36
Telangana,-67,-106
Andhra Pradesh,-72,-162
Tamil Nadu,-77,-234
Nagaland,229,53
Arunachal Pradesh,218,106
Meghalaya,151,36
Assam,182,59
Manipur,216,20
Mizoram,195,-7
Tripura,160,1